year,coal,oillpg,gas,renewables,uranium
New Delhi,2.6,69.6,27230000,30,1
Kolkata,1.7,42.9,24792000,49,2
Mumbai,1.5,32.1,21450000,70,3
Hyderabad,3.2,26.5,8396000,90,4
Chennai,2.3,21.8,9483000,108,5
Bangalore,2,21.6,10591000,110,6
Pune,2.8,18.9,6697000,130,7
Ahmadabad,1.8,12.2,6635000,185,8
Malapuram,2,9.5,4812000,234,9
Jaipur,2.5,9.4,3819000,238,10
Chandigarh,3.9,8.8,2247000,257,11
Lucknow,1.8,8.5,4590000,269,12
Nagpur,2.8,8.3,2982000,273,13
Indore,2.6,7.5,2844000,291,14
Coimbatore,3.2,7.2,2213000,303,15
Vadodara,3.5,6.9,1987000,321,16
Kanpur,1.7,6.5,3776000,342,17
Asansol,1.9,6.1,3245000,356,18
Ludhiana,2.9,6,2081000,365,19
Raipur,2.1,5.7,2684000,390,20
Bhopal,2.4,5.5,2277000,404,21
Kavaratti,1.7,5.1,3106000,436,22
Varanasi,1.1,4.6,4165000,485,23
Surat,1.2,4.6,3698000,487,24
Cochin,2.2,4.5,2013000,491,25
