LAT,LON,CITY,12-Jan
11.7401,92.6586,Andaman & Nicobar Island,51823.68
15.9129,79.74,Andhra Pradesh,13329554.56
27.08,93.4,Arunanchal Pradesh,184699.484
26.244156,92.537842,Assam,5151141.655
25.0961,85.3131,Bihar,17349616.16
30.7333,76.7794,Chandigarh,66522.263
21.295132,81.828232,Chhattisgarh,4976222.25
20.3974,72.8328,Daman & Diu,27775.26
20.1809,73.0169,Dadra & Nagar Haveli,43618.611
28.7041,77.1025,NCT of Delhi,337394.338
15.2993,74.124,Goa,86513.884
23.109425,72.13623,Gujarat,7418666.262
29.238478,76.431885,Haryana,2632618.332
32.084206,77.571167,Himachal Pradesh,903667.572
34.083656,74.797371,Jammu & Kashmir,1356154.224
23.6102,85.2799,Jharkhand,5427450.946
13.317277,75.71389,Karnataka,8764640.815
10.850516,76.27108,Kerala,4907611.32
10.076011,73.630345,Lakshadweep,8765.757
23.473324,77.947998,Madhya Pradesh,12198591.56
19.601194,75.552979,Maharashtra,13321294.22
24.6637,93.9063,Manipur,355006.4
25.467,91.3662,Meghalaya,465628.635
23.1645,92.9376,Mizoram,104569.421
26.1584,94.5624,Nagaland,318772.105
20.94092,84.803467,Odisha,8656332.16
11.9139,79.8145,Puducherry,88273.868
31.1471,75.3412,Punjab,2385677.259
27.391277,73.432617,Rajasthan,9700184.613
27.533,88.5122,Sikkim,74828.504
10,78.656891,Tamil Nadu,9579375.554
17.123184,79.208824,Telangana,0
23.745127,91.746826,Tripura,693608.763
28.207609,79.82666,Uttar Pradesh,26602806.93
30.0668,79.0193,Uttarakhand,1106375.672
22.978624,87.747803,West Bengal,16394983.28
