LAT,LON,CITY,12-Jan
27.18,78.02,Agra,26
23.03,72.62,Ahmedabad,28
25.45,81.85,Allahabad,39
31.63,74.88,Amritsar,49
19.88,75.34,Aurangabad,52
12.97,77.59,Bangalore,32
23.27,77.4,Bhopal,18
13.05,80.25,Chennai,19
10.99,76.96,Coimbatore,24
28.67,77.22,Delhi,65
23.8,86.45,Dhanbad,37
28.408912,77.317789,Faridabad,
28.66,77.453,Ghaziabad,28
26.22,78.18,Gwalior,13
22.595769,88.263639,Howrah,57
17.38,78.47,Hydrabad,23
22.72,75.83,Indore,20
23.181,79.986,Jabalpur,21
26.92,75.82,Jaipur,37
26.24,73.02,Jodhpur,24
19.233,73.1333,Kalyan-Dombivali,74
26.47,80.35,Kanpur,36
16.7,74.23,Kolkata,50
25.17,75.86,Kota,39
26.85,80.92,Lucknow,35
30.9,75.85,Ludhiana,28
9.93,78.12,Madurai,24
28.97,77.72,Meerut,56
19.07,72.88,Mumbai,25
21.15,79.1,Nagpur,28
19.98,73.8,Nashik,21
19.033049,73.029662,Navi Mumbai,48
18.629,73.799,PimpriChinchwad,82
18.52,73.86,Pune,85
21.23,81.63,Raipur,32
22.3,70.78,Rajkot,21
23.344,85.309,Ranchi,37
21.17,72.83,Surat,18
19.218331,72.97809,Thane,68
22.3,73.2,Vadodara,20
25.32,82.98,Varanasi,34
16.506,80.648,Vijaywada,44
17.68,83.21,Vishakhapatnam,18
