LAT,LON,CITY,12-Jan
27.18,78.02,Agra,4
23.03,72.62,Ahmedabad,17
25.45,81.85,Allahabad,2
31.63,74.88,Amritsar,18
19.88,75.34,Aurangabad,22
12.97,77.59,Bangalore,3
23.27,77.4,Bhopal,3
13.05,80.25,Chennai,8
10.99,76.96,Coimbatore,4
28.67,77.22,Delhi,7
23.8,86.45,Dhanbad,15
28.408912,77.317789,Faridabad,
28.66,77.453,Ghaziabad,14
26.22,78.18,Gwalior,10
22.595769,88.263639,Howrah,10
17.38,78.47,Hydrabad,4
22.72,75.83,Indore,11
23.181,79.986,Jabalpur,10
26.92,75.82,Jaipur,9
26.24,73.02,Jodhpur,5
19.233,73.1333,Kalyan-Dombivali,25
26.47,80.35,Kanpur,7
16.7,74.23,Kolkata,4
25.17,75.86,Kota,7
26.85,80.92,Lucknow,8
30.9,75.85,Ludhiana,17
9.93,78.12,Madurai,15
28.97,77.72,Meerut,7
19.07,72.88,Mumbai,5
21.15,79.1,Nagpur,13
19.98,73.8,Nashik,31
19.033049,73.029662,Navi Mumbai,20
18.629,73.799,PimpriChinchwad,40
18.52,73.86,Pune,34
21.23,81.63,Raipur,12
22.3,70.78,Rajkot,14
23.344,85.309,Ranchi,22
21.17,72.83,Surat,12
19.218331,72.97809,Thane,23
22.3,73.2,Vadodara,15
25.32,82.98,Varanasi,14
16.506,80.648,Vijaywada,6
17.68,83.21,Vishakhapatnam,8
